Дистр.,Привязка в CRM,Значение привязки в CRM,Клиент,ИНН клиента,Регион,Город,Улица,Информация из CRM по ИНН наименование АС,Информация из CRM по ИНН КАМ АС,Информация из CRM Наименование ЕА,Информация из CRM МП ЕА,Регион МП,Регион в CRM по области аптеки
Фармкомплект,5916027419_b030919ad9460dfaecefcffeed765095,"Нытва-Фарм ООО, г.Воткинск, ул.Кирова,78; 5916027419; 427440, Удмуртская Респ, Воткинск г, Кирова ул, дом № 78; 5916027419_b030919ad9460dfaecefcffeed765095",ОПЕКА Нытва-Фарм ООО г.Ижевск,5916027419,Удмуртская респ.,Удмуртия (Ижевск),"427440, Удмуртская Респ, Воткинск г, Кирова ул, дом № 78",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Верхнее Поволжье
Агроресурсы,511462.00,"АЛЕКС МЕД ООО, г.Оренбург, ул.Мусы Джалиля, д.6; Оренбургская обл; Оренбург г; ул. Мусы Джалиля, д. №6, помещение 7М; 511462.00; 5612161733","АЛЕКС МЕД ООО, г.Оренбург, ул.Мусы Джалиля, д.6",5612161733,Оренбургская обл.,Оренбург г,"ул. Мусы Джалиля, д. №6, помещение 7М",АС ЛПУ НПФО,Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Магнит,6187531-10584930-660593340,"6187531-10584930-660593340; 7017124864; Чирчик ООО Томск; 634059, Томская обл., Томск, ул. Смирнова, д. 38, пом1",Чирчик ООО Томск,7017124864,Томская обл.,Томск,"634059, Томская обл., Томск, ул. Смирнова, д. 38, пом1","АС ""ВИТА""",Калустов Борис,Нет в CRM,Нет в CRM,Нет в CRM,Западная Сибирь
Магнит,610937-10768475-596528404,"610937-10768475-596528404; 0326038592; ВИТА ПЛЮС ООО Улан-Удэ; 670002, Бурятия (г.Улан-Удэ), Улан-Удэ, ул. Буйко, д. 20а",ВИТА ПЛЮС ООО Улан-Удэ,326038592,Бурятия респ.,Улан-удэ,"670002, Бурятия (г.Улан-Удэ), Улан-Удэ, ул. Буйко, д. 20а",Нет в CRM,Нет в CRM,ЕА ООО Вита плюс_,Ходоева Ольга,Западная Сибирь,Западная Сибирь
Магнит,500000-827059380-827060393,"500000-827059380-827060393; 7103514152; Фармпланета ООО Здравсервис; 300027, г.Тула, ул.Металлургов, д.55",Фармпланета ООО Здравсервис,7103514152,Тульская обл.,Тула,"300027, г.Тула, ул.Металлургов, д.55",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Магнит,500000-827059228-827095540,"500000-827059228-827095540; 7105053820; К-фарм ООО Здравсервис; 249096, Калужская область, Малоярославецкий район, г. Малоярославец, ул. Московская, д. 37",К-фарм ООО Здравсервис,7105053820,Калужская обл.,Малоярославец,"249096, Калужская область, Малоярославецкий район, г. Малоярославец, ул. Московская, д. 37",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Магнит,500000-827059228-827096520,"500000-827059228-827096520; 7105053820; К-фарм ООО Здравсервис; 248039, Калужская область, городской округ ""Город Калуга"", г. Калуга, ул. Петра Тарасова, д.8, помещение 6",К-фарм ООО Здравсервис,7105053820,Калужская обл.,Калуга,"248039, Калужская область, городской округ ""Город Калуга"", г. Калуга, ул. Петра Тарасова, д.8, помещение 6",Твой доктор(ИРИС),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Магнит,500000-827077442-827090828,"500000-827077442-827090828; 7106085416; Аптечный край ООО Здравсервис; 123308, г. Москва, ул. Куусинена, д. 7, корп. 1, пом. 6",Аптечный край ООО Здравсервис,7106085416,Московская обл.,Москва,"123308, г. Москва, ул. Куусинена, д. 7, корп. 1, пом. 6",Аптечный край Москва,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,500000-827097597-827097604,"500000-827097597-827097604; 2458015556; ГАРМОНИЯ ЗДОРОВЬЯ МОСКВА ООО Москва; Московская область, г. о. Подольск, г. Подольск, улица Советская, д. 22/49, пом. 6",ГАРМОНИЯ ЗДОРОВЬЯ МОСКВА ООО Москва,2458015556,Московская обл.,Подольск,"Московская область, г. о. Подольск, г. Подольск, улица Советская, д. 22/49, пом. 6",Нет в CRM,Нет в CRM,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,500000-827073860-827073862,"500000-827073860-827073862; 5903090332; _Парк ООО Пермь; 143408, Московская область, г. Красногорск, бульвар Космонавтов, д.1, пом. 0034",_Парк ООО Пермь,5903090332,Московская обл.,Красногорск,"143408, Московская область, г. Красногорск, бульвар Космонавтов, д.1, пом. 0034",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,500000-827096798-827096801,"500000-827096798-827096801; 7751049274; ПАХРА-ФАРМ ООО Москва; 108825, г.Москва, поселение Щаповское, пос. Щапово,д.53,пом.57",ПАХРА-ФАРМ ООО Москва,7751049274,Московская обл.,Подольск,"108825, г.Москва, поселение Щаповское, пос. Щапово,д.53,пом.57",АС Димфарм  (АСНА),Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,611920-10919616-536273094,"611920-10919616-536273094; 6453138223; Аптека ""Северная"" ООО; 410051, Саратовская обл., Саратов, Мостовая, д. 37 А","Аптека ""Северная"" ООО",6453138223,Саратовская обл.,Саратов,"410051, Саратовская обл., Саратов, Мостовая, д. 37 А",Северная,Муминова Дина,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Магнит,611796-10783148-1677761419,"611796-10783148-1677761419; 5902132100; Полифарм ООО Тюмень; 625049, Тюменская обл., Тюмень, Кремлевская ул., д. 102а",Полифарм ООО Тюмень,5902132100,Тюменская обл.,Тюмень,"625049, Тюменская обл., Тюмень, Кремлевская ул., д. 102а",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Магнит,611163-10777612-1116839835,"611163-10777612-1116839835; 2308209746; Апрель Севастополь ООО Краснодар; 385141, Республика Адыгея, Яблоновский, Гагарина, д. 159",Апрель Севастополь ООО Краснодар,2308209746,Адыгея респ.,Яблоновский,"385141, Республика Адыгея, Яблоновский, Гагарина, д. 159",Апрель АС Отрада ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Магнит,611163-10777612-1793817706,"611163-10777612-1793817706; 2308209746; Апрель Севастополь ООО Краснодар; 350062, Краснодарский край, г. Краснодар, Герцена, д. 190",Апрель Севастополь ООО Краснодар,2308209746,Краснодарский край,Краснодар,"350062, Краснодарский край, г. Краснодар, Герцена, д. 190",Апрель АС Отрада ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Магнит,611163-10694935-1290779246,"611163-10694935-1290779246; 2309137766; Семейная аптека Апрель ООО Краснодар; 353235, Краснодарский край, Афипский, Пушкина, д. 1111",Семейная аптека Апрель ООО Краснодар,2309137766,Краснодарский край,Афипский,"353235, Краснодарский край, Афипский, Пушкина, д. 1111",Апрель АС Отрада ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Магнит,611163-10694935-1251490615,"611163-10694935-1251490615; 2309137766; Семейная аптека Апрель ООО Краснодар; 350910, Краснодарский край, Краснодар, Евдокии Бершанской, д. 127",Семейная аптека Апрель ООО Краснодар,2309137766,Краснодарский край,Краснодар,"350910, Краснодарский край, Краснодар, Евдокии Бершанской, д. 127",Апрель АС Отрада ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Магнит,611163-10728039-1310461464,"611163-10728039-1310461464; 2310174811; Апрель Кубань ООО Краснодар; 353913, Краснодарский край, Новороссийск, Ленина просп., д. 29 А",Апрель Кубань ООО Краснодар,2310174811,Краснодарский край,Новороссийск,"353913, Краснодарский край, Новороссийск, Ленина просп., д. 29 А",Апрель АС Отрада ООО,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Магнит,500000-827059410-827059552,"500000-827059410-827059552; 7107000373; Юган ООО Тула; 300044 г. Тула, ул. М. Горького, д. 35 а",Юган ООО Тула,7107000373,Тульская обл.,Тула,"300044 г. Тула, ул. М. Горького, д. 35 а",Мерцана АС (АСНА),Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Магнит,500000-827091423-827092577,"500000-827091423-827092577; 7714844316; АПТЕКА-А.в.е-1 ООО Москва; Г/З, А.в.е-1, МО, Лобня, Аэропортовская, 5А. Аптечный пункт №793",АПТЕКА-А.в.е-1 ООО Москва,7714844316,Московская обл.,Лобня,"Г/З, А.в.е-1, МО, Лобня, Аэропортовская, 5А. Аптечный пункт №793",Горздрав,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,611487-10674179-767966252,"611487-10674179-767966252; 5904280093; Восток ООО; 426008, Удмуртская Республика, г. Ижевск, пер. Широкий ,д.53, этаж 1",Восток ООО,5904280093,Удмуртская респ.,Ижевск,"426008, Удмуртская Республика, г. Ижевск, пер. Широкий ,д.53, этаж 1",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Верхнее Поволжье
Магнит,500000-827057336-827088629,"500000-827057336-827088629; 7706795062; _ФармПрогресс ООО Москва; (9) 142132, Московская область, г.Подольск, ул.Вишневая, д.11А",_ФармПрогресс ООО Москва,7706795062,Московская обл.,Дубровицы,"(9) 142132, Московская область, г.Подольск, ул.Вишневая, д.11А",АС Здоров.ру (ООО Фармпрогресс),Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,611920-10209727-155133228,"611920-10209727-155133228; 3401007506; ОАО ""Алексеевская центральная районная аптека""; 403260, Волгоградская, Усть-Бузулукская, Советская, д. 74","ОАО ""Алексеевская центральная районная аптека""",3401007506,Волгоградская обл.,Усть-бузулукская,"403260, Волгоградская, Усть-Бузулукская, Советская, д. 74",МС Созвездие,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Магнит,500000-827091423-827092554,"500000-827091423-827092554; 7714844316; АПТЕКА-А.в.е-1 ООО Москва; Г/З, А.в.е-1, МО, Коломна, Октябрьской революции, 336 А. Аптечный пункт №1392",АПТЕКА-А.в.е-1 ООО Москва,7714844316,Московская обл.,Коломна,"Г/З, А.в.е-1, МО, Коломна, Октябрьской революции, 336 А. Аптечный пункт №1392",Горздрав,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,611865-11006201-560148707,"611865-11006201-560148707; 7724211288; Ригла ООО Калининград; 236010, Калининград-РЕГИОН, Калининград, Победы пл. (Калининград), д. 4А",Ригла ООО Калининград,7724211288,Калининградская обл.,Калининград,"236010, Калининград-РЕГИОН, Калининград, Победы пл. (Калининград), д. 4А",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-560148709,"611865-11006201-560148709; 7724211288; Ригла ООО Калининград; 236011, Калининград-РЕГИОН, Калининград, У.Громовой ул. (Калининград), д. 15",Ригла ООО Калининград,7724211288,Калининградская обл.,Калининград,"236011, Калининград-РЕГИОН, Калининград, У.Громовой ул. (Калининград), д. 15",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-560148710,"611865-11006201-560148710; 7724211288; Ригла ООО Калининград; 238150, Калининград-РЕГИОН, Черняховск, Калининградская ул. (Черняховск), д. 5",Ригла ООО Калининград,7724211288,Калининградская обл.,Черняховск,"238150, Калининград-РЕГИОН, Черняховск, Калининградская ул. (Черняховск), д. 5",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-560148711,"611865-11006201-560148711; 7724211288; Ригла ООО Калининград; 236013, Калининград-РЕГИОН, Калининград, Алданская ул. (Калининград), д. 11-13",Ригла ООО Калининград,7724211288,Калининградская обл.,Калининград,"236013, Калининград-РЕГИОН, Калининград, Алданская ул. (Калининград), д. 11-13",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-560148712,"611865-11006201-560148712; 7724211288; Ригла ООО Калининград; 111111, Калининград-РЕГИОН, Калининград, Киевская ул. (Калининград), д. 50",Ригла ООО Калининград,7724211288,Калининградская обл.,Калининград,"111111, Калининград-РЕГИОН, Калининград, Киевская ул. (Калининград), д. 50",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-560148713,"611865-11006201-560148713; 7724211288; Ригла ООО Калининград; 111111, Калининград-РЕГИОН, Прибрежный п., Заводская ул. (Калининград), д. 27",Ригла ООО Калининград,7724211288,Калининградская обл.,Прибрежный,"111111, Калининград-РЕГИОН, Прибрежный п., Заводская ул. (Калининград), д. 27",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-560148715,"611865-11006201-560148715; 7724211288; Ригла ООО Калининград; 111111, Калининград-РЕГИОН, Калининград, Мира пр-кт. (Калининград), д. 94",Ригла ООО Калининград,7724211288,Калининградская обл.,Калининград,"111111, Калининград-РЕГИОН, Калининград, Мира пр-кт. (Калининград), д. 94",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-560148717,"611865-11006201-560148717; 7724211288; Ригла ООО Калининград; 111111, Калининград-РЕГИОН, Калининград, Куйбышева ул. (Калининград), д. 91",Ригла ООО Калининград,7724211288,Калининградская обл.,Калининград,"111111, Калининград-РЕГИОН, Калининград, Куйбышева ул. (Калининград), д. 91",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-564317463,"611865-11006201-564317463; 7724211288; Ригла ООО Калининград; Калининградская область,Гвардейск г.,ул. Ленина, 6А",Ригла ООО Калининград,7724211288,Калининградская обл.,Гвардейск,"Калининградская область,Гвардейск г.,ул. Ленина, 6А",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-566622539,"611865-11006201-566622539; 7724211288; Ригла ООО Калининград; 111111, Калининград-РЕГИОН, Советск, Победы ул. (Советск), д. 20",Ригла ООО Калининград,7724211288,Калининградская обл.,Советск,"111111, Калининград-РЕГИОН, Советск, Победы ул. (Советск), д. 20",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-566622538,"611865-11006201-566622538; 7724211288; Ригла ООО Калининград; 111111, Калининград-РЕГИОН, Озерск, Победы пл. (Озерск), д. 36",Ригла ООО Калининград,7724211288,Калининградская обл.,Озерск,"111111, Калининград-РЕГИОН, Озерск, Победы пл. (Озерск), д. 36",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-566622533,"611865-11006201-566622533; 7724211288; Ригла ООО Калининград; 11111111, Калининград-РЕГИОН, Советск, Ленина ул. (Советск), д. 18-20",Ригла ООО Калининград,7724211288,Калининградская обл.,Советск,"11111111, Калининград-РЕГИОН, Советск, Ленина ул. (Советск), д. 18-20",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611865-11006201-566622540,"611865-11006201-566622540; 7724211288; Ригла ООО Калининград; 1111111, Калининград-РЕГИОН, Черняховск, Калинина ул. (Черняховск), д. 11",Ригла ООО Калининград,7724211288,Калининградская обл.,Черняховск,"1111111, Калининград-РЕГИОН, Черняховск, Калинина ул. (Черняховск), д. 11",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611605-10741380-807081555,"611605-10741380-807081555; 362501799070; Глобучик Е.А.ИП  Рамонь Воронежская область; 396026, Воронежская, Березово, ул. Ленина, д. 102а",Глобучик Е.А.ИП  Рамонь Воронежская область,362501799070,Воронежская обл.,Берёзово,"396026, Воронежская, Березово, ул. Ленина, д. 102а",Нет в CRM,Нет в CRM,ИП Глобучик Е.А.,voronezh,Центр,Центр
Магнит,611605-10095208-397360929,"611605-10095208-397360929; 3662013310; КП ВО Воронежфармация; 396250, Воронежская, Анна, ул. Первомайская, д. 3 ""а""",КП ВО Воронежфармация,3662013310,Воронежская обл.,Анна,"396250, Воронежская, Анна, ул. Первомайская, д. 3 ""а""",АС Воронежфармация,Ефремов Игорь,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Магнит,611796-10232971-758887313,"611796-10232971-758887313; 660601760226; ИП Алещенко Т.В.; 624090, Свердловская обл, Екатеринбург г, Кривоусова ул, д. 18Д",ИП Алещенко Т.В.,660601760226,Свердловская обл.,Верхняя пышма,"624090, Свердловская обл, Екатеринбург г, Кривоусова ул, д. 18Д",АС Айболит (ИП Алещенко),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Магнит,611796-10785639-1732614450,"611796-10785639-1732614450; 5908077832; Провита ООО Пермь; Тюменская обл.. ХМАО, г.Когалым, ул.Дружбы Народов, 19",Провита ООО Пермь,5908077832,Ханты-Мансийский Автономный округ - Югра АО,Когалым,"Тюменская обл.. ХМАО, г.Когалым, ул.Дружбы Народов, 19",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Магнит,611605-10150453-535977433,"611605-10150453-535977433; 3665067917; Мелодия здоровья ООО; 392027, г.Тамбов, ул.Рылеева, дом №83",Мелодия здоровья ООО,3665067917,Тамбовская обл.,Тамбов,"392027, г.Тамбов, ул.Рылеева, дом №83",АС Мелодия Здоровья,Якобсон Пётр,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Магнит,66441155-10472491-288791233,"66441155-10472491-288791233; 3525313697; ООО Аптека №16; 165300, Архангельская область, г.Котлас, ул.Маяковского, дом 46/ул.Ушинского, дом 5, Аптечный пункт ООО ""Аптека №16""",ООО Аптека №16,3525313697,Архангельская обл.,Котлас,"165300, Архангельская область, г.Котлас, ул.Маяковского, дом 46/ул.Ушинского, дом 5, Аптечный пункт ООО ""Аптека №16""",Антей,Парфенова Татьяна,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,500000-827057336-827088682,"500000-827057336-827088682; 7706795062; _ФармПрогресс ООО Москва; (71) 142132, Московская область, г.Подольск, ул.Вишневая, д.11А",_ФармПрогресс ООО Москва,7706795062,Московская обл.,Дубровицы,"(71) 142132, Московская область, г.Подольск, ул.Вишневая, д.11А",АС Здоров.ру (ООО Фармпрогресс),Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,500000-827096521-827096528,"500000-827096521-827096528; 3250522485; Миллениум ООО Брянск; Брянская область, г.Брянск, ул.Дзержинского, д.5, часть помещения 2",Миллениум ООО Брянск,3250522485,Брянская обл.,Брянск,"Брянская область, г.Брянск, ул.Дзержинского, д.5, часть помещения 2",ООО Миллениум,Овсянников Николай,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Магнит,611163-10561793-397294901,"611163-10561793-397294901; 6162043915; Согласие-ДЕШЁВАЯ АПТЕКА ООО Ростов-на-Дону (Гид-ДЕШЁВАЯ АПТЕКА); 350049, Краснодарский край, Краснодар, Тургенева, д. 130",Согласие-ДЕШЁВАЯ АПТЕКА ООО Ростов-на-Дону (Гид-ДЕШЁВАЯ АПТЕКА),6162043915,Краснодарский край,Краснодар,"350049, Краснодарский край, Краснодар, Тургенева, д. 130",Ростфармснаб-Дешёвая Аптека,Муминова Дина,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Магнит,611163-10486129-299481522,"611163-10486129-299481522; 0107020610; Экспресс аптека ООО Яблоновский Адыгея; пгт.Энем, угол ул. Седина и ул. Космическая, Литер А",Экспресс аптека ООО Яблоновский Адыгея,107020610,Адыгея респ.,Энем,"пгт.Энем, угол ул. Седина и ул. Космическая, Литер А",Нет в CRM,Нет в CRM,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Магнит,15931258-10637401-421030166,"15931258-10637401-421030166; 1434041788; Фармопт ООО Нерюнгри; 678980, Якутия БЛГ, П.Чульман, Советская, д. 35",Фармопт ООО Нерюнгри,1434041788,Саха (Якутия) респ.,Чульман,"678980, Якутия БЛГ, П.Чульман, Советская, д. 35",АС ООО Фармаопт (АСНА),Якобсон Пётр,Нет в CRM,Нет в CRM,Нет в CRM,Западная Сибирь
Магнит,500000-827059073-827059993,500000-827059073-827059993,5751005040, 53 Аптека Орел, Орловская обл. с.Плещеево пер.Больничный д.6,53 Аптека Орел,5751005040,Орловская обл.,Плещеево,Орловская обл. с.Плещеево пер.Больничный д.6,МС Созвездие,Коробова Александра,Нет в CRM
Магнит,611605-10150453-173169573,"611605-10150453-173169573; 3665067917; Мелодия здоровья ООО; 396073, Воронежская область, 396073г.Нововоронеж, ул.Победы, д.1",Мелодия здоровья ООО,3665067917,Воронежская обл.,Нововоронеж,"396073, Воронежская область, 396073г.Нововоронеж, ул.Победы, д.1",АС Мелодия Здоровья,Якобсон Пётр,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Магнит,611865-10140822-526408742,"611865-10140822-526408742; 7826028919; Эдельвейс ООО; 188230, Ленинградская обл., Гатчинский р-н, пгт. Сиверский , Строителей ул., д. 1, лит. А, пом. 1(комнаты 1-8,10, часть комнаты 11)",Эдельвейс ООО,7826028919,Ленинградская обл.,Луга,"188230, Ленинградская обл., Гатчинский р-н, пгт. Сиверский , Строителей ул., д. 1, лит. А, пом. 1(комнаты 1-8,10, часть комнаты 11)",АС Мелодия Здоровья,Якобсон Пётр,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,611163-10133400-1664797839,"611163-10133400-1664797839; 2311098641; Мелодия здоровья ООО Краснодар; 353860, Краснодарский край, Приморско-Ахтарск, Пролетарская, д. 111",Мелодия здоровья ООО Краснодар,2311098641,Краснодарский край,Приморско-ахтарск,"353860, Краснодарский край, Приморско-Ахтарск, Пролетарская, д. 111",АС Мелодия Здоровья,Якобсон Пётр,Нет в CRM,Нет в CRM,Нет в CRM,Юг России
Магнит,610937-10298448-254374985,"610937-10298448-254374985; 7724211288; Ригла ООО филиал г.Чита; 672007, Забайкальский край, Чита, ул. Бутина, д. 69",Ригла ООО филиал г.Чита,7724211288,Забайкальский край,Чита,"672007, Забайкальский край, Чита, ул. Бутина, д. 69",АС РИГЛА,Павлов Павел,Нет в CRM,Нет в CRM,Нет в CRM,Западная Сибирь
Магнит,500000-827084871-827089614,"500000-827084871-827089614; 5257118934; _АЛТЕЯ ООО г.Нижний Новгород; 248001, Калужская область, г.Калуга, ул.Кирова, д.11",_АЛТЕЯ ООО г.Нижний Новгород,5257118934,Калужская обл.,Калуга,"248001, Калужская область, г.Калуга, ул.Кирова, д.11",Максавит,Королевская Оксана,Нет в CRM,Нет в CRM,Нет в CRM,Центр
Магнит,500000-827073781-827073795,"500000-827073781-827073795; 5906086888; _Лето ООО Пермь; 141100, Московская область, Щелковский р-н, г. Щелково, просп. Пролетарский, д. 12Б, пом. I",_Лето ООО Пермь,5906086888,Московская обл.,Щелково,"141100, Московская область, Щелковский р-н, г. Щелково, просп. Пролетарский, д. 12Б, пом. I",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,500000-827073690-827073732,"500000-827073690-827073732; 7734732748; _ООО Парацельс Москва; 125481, г. Москва, ул. Планерная, д.12, корп. 1",_ООО Парацельс Москва,7734732748,Московская обл.,Москва,"125481, г. Москва, ул. Планерная, д.12, корп. 1",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,500000-827076857-827086521,"500000-827076857-827086521; 5903137414; ВЕРБЕНА ООО; 141732, Московская область, г. Лобня, ул. Борисова, д.24, корп. 1, пом.7",ВЕРБЕНА ООО,5903137414,Московская обл.,Лобня,"141732, Московская область, г. Лобня, ул. Борисова, д.24, корп. 1, пом.7",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,66441155-10485543-285428595,"66441155-10485543-285428595; 290800015104; Углова Н.А. ИП Котлас; 165511, Верхнетоемский район, Котлас, Садовая, д. 2",Углова Н.А. ИП Котлас,290800015104,Архангельская обл.,Авнюгский,"165511, Верхнетоемский район, Котлас, Садовая, д. 2",Small ИП Углова (Архангельская обл.),Зайцев Дмитрий,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
Магнит,6187531-10463064-464343702,"6187531-10463064-464343702; 2464261510; Гармония Здоровья ООО; 633456, Новосибирская, Тогучин, ул. Островского, д. 9а",Гармония Здоровья ООО,2464261510,Новосибирская обл.,Тогучин,"633456, Новосибирская, Тогучин, ул. Островского, д. 9а","Аптечная сеть ""Гармония Здоровья""",Буряк Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Западная Сибирь
Магнит,684925-10963354-931139711,"684925-10963354-931139711; 9715351116; АЙРОНХЕРБ ООО; 440023, Пензенская обл., г. Пенза, ул. Пархоменко, д. 6, Литер А, 1 Этаж пом.1,2,10,11,13,156, пом. 16,19",АЙРОНХЕРБ ООО,9715351116,Пензенская обл.,Пенза,"440023, Пензенская обл., г. Пенза, ул. Пархоменко, д. 6, Литер А, 1 Этаж пом.1,2,10,11,13,156, пом. 16,19",Фарма-Люкс  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Магнит,610937-10093223-430537491,"610937-10093223-430537491; 7534000240; Гуп Аптечный Склад Чита; Аптечный пункт, 672015, Забайкальский край, г. Чита, ул. Энергетиков, д. 18а",Гуп Аптечный Склад Чита,7534000240,Забайкальский край,Чита,"Аптечный пункт, 672015, Забайкальский край, г. Чита, ул. Энергетиков, д. 18а",АС ГУП Аптечный склад,Якобсон Пётр,Нет в CRM,Нет в CRM,Нет в CRM,Западная Сибирь
Магнит,6187531-10224888-573595369,"6187531-10224888-573595369; 5402532406; Новая сеть аптек ООО; 630534, Новосибирская, Новосибирск, ул. Центральная аллея, д. 28",Новая сеть аптек ООО,5402532406,Новосибирская обл.,Мочище,"630534, Новосибирская, Новосибирск, ул. Центральная аллея, д. 28","Аптечная сеть ""Гармония Здоровья""",Буряк Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Западная Сибирь
Магнит,500000-827091423-827092695,"500000-827091423-827092695; 7714844316; АПТЕКА-А.в.е-1 ООО Москва; Г/З, А.в.е-1, МО, Ступино, Чайковского, 11. Аптечный пункт №1575",АПТЕКА-А.в.е-1 ООО Москва,7714844316,Московская обл.,Ступино,"Г/З, А.в.е-1, МО, Ступино, Чайковского, 11. Аптечный пункт №1575",Горздрав,Коробова Александра,Нет в CRM,Нет в CRM,Нет в CRM,Московская область
Магнит,611865-10142503-239310019,"611865-10142503-239310019; 7814364063; Мелодия здоровья ООО; 111111, Санкт-Петербург-РЕГИОН, Санкт-Петербург, Марата ул., д. 84/18",Мелодия здоровья ООО,7814364063,Ленинградская обл.,Санкт-Петербург,"111111, Санкт-Петербург-РЕГИОН, Санкт-Петербург, Марата ул., д. 84/18",АС Мелодия Здоровья,Якобсон Пётр,Нет в CRM,Нет в CRM,Нет в CRM,Северо-Запад России
